motivo,count
cooperado adquire todos produtos na Cooxupé,1
cooperado tem na bolsa esse valor para 90 dias!,1
Desconto a vista,1
"Venda feita com preço de terceiro, produtor estrategico entrando de cooperado, por enquanto somente matricula de terceiro.",1
Cooperado tem esse preço na concorrência minassul e da preferencia para gente!,1
"Desconto para acompanhar a concorrência, acompanhar mesmo preço feito ao cooperado no dia 08/01",1
mesmo preço que na fitovet em paraguaçu,1
"compra a vista, concorrencia coopama.",1
cobrir preço coocapec !!,1
CONDIÇÃO concorrente coopama,1
DESCONTO AUTORIZADO PELO GERENTE ANDRE,1
acompanhar preço minasul,1
Autorizado comercial calça com defeito,1
"desconto solicitado para finalização da venda, cooperado cotou na concorrência, preferência Cooxupé",1
Funcionário,1
desconto pacote,1
Alinhado com o Jorge Almeida,1
"Cooperado ligou cedo para mim cotando a maquina onde passei o valor de 2428,00 para 60 dias, onde teve um aumento e o cooperado não queria ficar com a maquina no valor ajustado no sistema, conversando com a leiliele conseguiu alterar o preço porque é um item que temos em estoque.",1
Desconto para acompanhar a concorrência capebe alinhado com Thalles,1
Desconto alinhado com Inácio para acompanha o preço já feito para o cooperado no dia 12/01,1
"desconto conforme compra já feita e cancelada, até o momento o crédito do cancelamento não voltou para o cooperado.",1
promoção do Empório - referente e-mail do Edson da Torrefação,1
Acompanhar Coopercitrus.,1
ajuste comercial falta produto de 20 litros,1
ajuste preço equivalente Coocapec !,1
Desconto negociado com o tdm da Bayer Matheus.,1
"para cobrir a oferta da café forte 340,00 a unidade",1
"Favor, conceder desconto ao cooperado para igualar ao preço do concorrente.",1
"Alinhamento comercial, para repor valor passado anteriormente",1
DESCONTO NECESSÁRIO PARA IGUALAR PREÇO DE CONCORRENCIA,1
"Preço para cobrir oferta concorrência,",1
cobrir oferta Coopercam,1
Conforme negociação AT da Syngenta,1
COBRIR OFERTA,1
Desconto alinhado com Rafael,1
Promoção do Empório,1
Alinhamento comercial - Acompanha concorrencia Agroval e Agroterra,1
Acompanhar coopercitrus,1
estoque negociado aguardava estoque,1
concorrencia    AP,1
"Produto vencido onde deixamos claro para o cooperado, alinhado com o gestor.",1
preço autorizado pela Ana Cássia via ligação.,1
Desconto ração Revenda Petúnia.,1
Liquidação de estoques - Produto vencido -  Alinhado com a gerencia,1
Desconto lais,1
item:48881 cappucino esta proximo ao vencimento,1
Acompanhar Concorrencia,1
"meu supervisor aprovou, calças com defeito",1
Desconto aplicado para combater concorrência. Com o de acordo do Inácio,1
alinhado com gestor,1
Acompanhando mercado local.,1
DESCONTO A VISTA - MERCADO,1
Solicitação de desconto para acompanhar a concorrência -  coopercitrus,1
Desconto para acompanhar concorrência,1
compra curto prazo,1
desconto 10% promoção botina Cooxupé,1
"Cooperado conseguiu por R$ 350,00 na Agropec",1
"Por favor, conceder desconto ao cooperado, preço mais caro do que do concorrente.",1
Liquidação de estoques - Fertilizante vencido - Alinhado com a gerencia,1
Desconto por avaria.,1
Desconto necessário para fechar o item convicto substituir o opera que não temos no estoque.,1
"Acerto Comercial Com Flávio (Gerente Rio Paranaíba-MG). Acompanhar  Mercado (Coopercitrus/São Gotardo-MG). Custo Item R$1,66/KG. Frete FOB (Retirada Por Conta do Cooperado).",1
Acompanhar,1
Negociação especifica - Acompanhar concorrente,1
"Refaturamento, pagamento avista.",1
Concorrência Coopercitrus,1
"Acerto Comercial Com Flávio (Gerente Rio Paranaíba-MG). Acompanhar Mercado. Custo Item R$7,20/KG.",1
tempo para cooperado ir e acertar no banco,1
condição autorizada Laís,1
"Desconto para fins de negociação, gerente de acordo.",1
desconto quantidade,1
Solicitação de desconto para acompanhar a concorrência - complemento do acordo de vendas 11854107 usando estoque disponível (faltou 1 big bag),1
Acompanhar Concorrência,1
"tabela l23, 5% de margem sem frete retirada loja",1
"Meu supervisor deixou fazer por 400,00",1
Desc alinhado com Ger Vandelino,1
"compra curto prazo, agropecuaria cabo verde praticando valor abaixo do nosso precisando do desconto para nao perder a venda.",1
Desconto para atender a venda de 20 sacos da ração vencendo hoje.,1
Adubo velho,1
PREÇO ALINHADO PAULO OTAVIO ACOMPANHAR CONCORRENTE SAGRA,1
Cooperado tem na cocapec a esse preço e daria  preferência para cooxupé,1
"Refaturamento acordo de venda - 11681431 

Falta do produto em estoque, cooperado precisa do item com determinada urgência",1
telhas  quebradas.,1
desconto mercado,1
"Desconto autorizado por Paulo Otavio. Cotação especifica cereais, azospirilum mosaic.",1
Refaturamento devido ao ultimo pedido ter sido cancelado. Cliente potencial que esta voltando com a sua participação na empresa. Intuito de acompanhar condição comercial encontrada no mercado e zerar o estoque.,1
Desconto autorizado por Paulo Otavio. Cotação especifica de cereais.,1
Produto com vencimento proximo,1
Desconto aplicado em negociação entre Inácio e cooperado com o de acordo do Douglas.,1
Desconto para fins de negociação.,1
DESCONTO AUTORIZADO,1
acompanhar preços corples,1
Desconto alinhado ontem com o Rafael para chegar o mais próximo da concorrência.,1
Concorrencia Campo verde,1
DESCONTO ALINHADO MAURINHO,1
Desconto 60850 defeitinho na gola.,1
Concorrencia - \Campo vErde,1
Concorencia - Campo verde.,1
